content_hash,bookmaker,phase,market,selection,line,price
d3500e1c11b3dc85606b824259694aad,market_avg,open,asian_handicap,away,-1.25,1.85
d3500e1c11b3dc85606b824259694aad,market_avg,open,asian_handicap,home,1.25,1.89
d3500e1c11b3dc85606b824259694aad,market_avg,open,total_goals,over,2.5,1.35
d3500e1c11b3dc85606b824259694aad,market_avg,open,total_goals,under,2.5,3.05
d3500e1c11b3dc85606b824259694aad,market_max,open,1x2,away,,1.47
d3500e1c11b3dc85606b824259694aad,market_max,open,1x2,draw,,5.25
d3500e1c11b3dc85606b824259694aad,market_max,open,1x2,home,,7.0
d3500e1c11b3dc85606b824259694aad,market_max,open,asian_handicap,away,-1.25,1.9
d3500e1c11b3dc85606b824259694aad,market_max,open,asian_handicap,home,1.25,1.95
d3500e1c11b3dc85606b824259694aad,market_max,open,total_goals,over,2.5,1.38
d3500e1c11b3dc85606b824259694aad,market_max,open,total_goals,under,2.5,3.2
d3500e1c11b3dc85606b824259694aad,paddy_power,open,1x2,away,,1.4
d3500e1c11b3dc85606b824259694aad,paddy_power,open,1x2,draw,,5.0
d3500e1c11b3dc85606b824259694aad,paddy_power,open,1x2,home,,6.5
d3500e1c11b3dc85606b824259694aad,skybet,open,1x2,away,,1.36
d3500e1c11b3dc85606b824259694aad,skybet,open,1x2,draw,,5.0
d3500e1c11b3dc85606b824259694aad,skybet,open,1x2,home,,6.5
08e055b529a3a1f13bbb1c02e53fd025,bet365,open,1x2,away,,2.2
08e055b529a3a1f13bbb1c02e53fd025,bet365,open,1x2,draw,,3.9
08e055b529a3a1f13bbb1c02e53fd025,bet365,open,1x2,home,,2.88
08e055b529a3a1f13bbb1c02e53fd025,bet365,open,asian_handicap,away,-0.25,1.98
08e055b529a3a1f13bbb1c02e53fd025,bet365,open,asian_handicap,home,0.25,1.88
08e055b529a3a1f13bbb1c02e53fd025,bet365,open,total_goals,over,2.5,1.44
08e055b529a3a1f13bbb1c02e53fd025,bet365,open,total_goals,under,2.5,2.75
08e055b529a3a1f13bbb1c02e53fd025,bet_and_win,open,1x2,away,,2.2
08e055b529a3a1f13bbb1c02e53fd025,bet_and_win,open,1x2,draw,,3.75
08e055b529a3a1f13bbb1c02e53fd025,bet_and_win,open,1x2,home,,2.9
08e055b529a3a1f13bbb1c02e53fd025,betfair_exchange,open,1x2,away,,2.38
08e055b529a3a1f13bbb1c02e53fd025,betfair_exchange,open,1x2,draw,,4.0
08e055b529a3a1f13bbb1c02e53fd025,betfair_exchange,open,1x2,home,,3.0
08e055b529a3a1f13bbb1c02e53fd025,betfair_exchange,open,asian_handicap,away,-0.25,2.08
08e055b529a3a1f13bbb1c02e53fd025,betfair_exchange,open,asian_handicap,home,0.25,1.9
08e055b529a3a1f13bbb1c02e53fd025,betfair_exchange,open,total_goals,over,2.5,1.51
08e055b529a3a1f13bbb1c02e53fd025,betfair_exchange,open,total_goals,under,2.5,2.9
08e055b529a3a1f13bbb1c02e53fd025,betfred,open,1x2,away,,2.2
08e055b529a3a1f13bbb1c02e53fd025,betfred,open,1x2,draw,,4.0
08e055b529a3a1f13bbb1c02e53fd025,betfred,open,1x2,home,,2.88
08e055b529a3a1f13bbb1c02e53fd025,betvictor,open,1x2,away,,2.15
08e055b529a3a1f13bbb1c02e53fd025,betvictor,open,1x2,draw,,3.7
08e055b529a3a1f13bbb1c02e53fd025,betvictor,open,1x2,home,,2.75
08e055b529a3a1f13bbb1c02e53fd025,market_avg,open,1x2,away,,2.2
08e055b529a3a1f13bbb1c02e53fd025,market_avg,open,1x2,draw,,3.8
08e055b529a3a1f13bbb1c02e53fd025,market_avg,open,1x2,home,,2.84
08e055b529a3a1f13bbb1c02e53fd025,market_avg,open,asian_handicap,away,-0.25,1.92
08e055b529a3a1f13bbb1c02e53fd025,market_avg,open,asian_handicap,home,0.25,1.83
08e055b529a3a1f13bbb1c02e53fd025,market_avg,open,total_goals,over,2.5,1.43
08e055b529a3a1f13bbb1c02e53fd025,market_avg,open,total_goals,under,2.5,2.72
08e055b529a3a1f13bbb1c02e53fd025,market_max,open,1x2,away,,2.3
08e055b529a3a1f13bbb1c02e53fd025,market_max,open,1x2,draw,,4.0
08e055b529a3a1f13bbb1c02e53fd025,market_max,open,1x2,home,,2.9
08e055b529a3a1f13bbb1c02e53fd025,market_max,open,asian_handicap,away,-0.25,1.98
08e055b529a3a1f13bbb1c02e53fd025,market_max,open,asian_handicap,home,0.25,1.88
08e055b529a3a1f13bbb1c02e53fd025,market_max,open,total_goals,over,2.5,1.48
08e055b529a3a1f13bbb1c02e53fd025,market_max,open,total_goals,under,2.5,2.88
08e055b529a3a1f13bbb1c02e53fd025,paddy_power,open,1x2,away,,2.15
08e055b529a3a1f13bbb1c02e53fd025,paddy_power,open,1x2,draw,,3.8
08e055b529a3a1f13bbb1c02e53fd025,paddy_power,open,1x2,home,,2.88
08e055b529a3a1f13bbb1c02e53fd025,skybet,open,1x2,away,,2.15
08e055b529a3a1f13bbb1c02e53fd025,skybet,open,1x2,draw,,3.8
08e055b529a3a1f13bbb1c02e53fd025,skybet,open,1x2,home,,2.8
fb66f8f04e9f4dd33476019d828f9778,bet365,open,1x2,away,,6.25
fb66f8f04e9f4dd33476019d828f9778,bet365,open,1x2,draw,,4.75
fb66f8f04e9f4dd33476019d828f9778,bet365,open,1x2,home,,1.44
fb66f8f04e9f4dd33476019d828f9778,bet365,open,asian_handicap,away,1.25,1.93
fb66f8f04e9f4dd33476019d828f9778,bet365,open,asian_handicap,home,-1.25,1.93
fb66f8f04e9f4dd33476019d828f9778,bet365,open,total_goals,over,2.5,1.44
fb66f8f04e9f4dd33476019d828f9778,bet365,open,total_goals,under,2.5,2.75
fb66f8f04e9f4dd33476019d828f9778,bet_and_win,open,1x2,away,,6.0
fb66f8f04e9f4dd33476019d828f9778,bet_and_win,open,1x2,draw,,4.8
fb66f8f04e9f4dd33476019d828f9778,bet_and_win,open,1x2,home,,1.46
fb66f8f04e9f4dd33476019d828f9778,betfair_exchange,open,1x2,away,,7.2
fb66f8f04e9f4dd33476019d828f9778,betfair_exchange,open,1x2,draw,,5.2
fb66f8f04e9f4dd33476019d828f9778,betfair_exchange,open,1x2,home,,1.48
fb66f8f04e9f4dd33476019d828f9778,betfair_exchange,open,asian_handicap,away,1.25,1.96
fb66f8f04e9f4dd33476019d828f9778,betfair_exchange,open,asian_handicap,home,-1.25,1.98
fb66f8f04e9f4dd33476019d828f9778,betfair_exchange,open,total_goals,over,2.5,1.47
fb66f8f04e9f4dd33476019d828f9778,betfair_exchange,open,total_goals,under,2.5,3.05
fb66f8f04e9f4dd33476019d828f9778,betfred,open,1x2,away,,6.5
fb66f8f04e9f4dd33476019d828f9778,betfred,open,1x2,draw,,5.0
fb66f8f04e9f4dd33476019d828f9778,betfred,open,1x2,home,,1.44
fb66f8f04e9f4dd33476019d828f9778,betvictor,open,1x2,away,,6.0
fb66f8f04e9f4dd33476019d828f9778,betvictor,open,1x2,draw,,4.6
fb66f8f04e9f4dd33476019d828f9778,betvictor,open,1x2,home,,1.4
fb66f8f04e9f4dd33476019d828f9778,market_avg,open,1x2,away,,6.16
